Employee_ID,Date,Teams_Messages_Sent,Emails_Sent,Meetings_Attended,Work_Hours
EMP0048,1/1/2023,33,8,9,6.69
EMP0207,1/2/2023,21,29,2,5.42
EMP0112,1/3/2023,21,1,3,9.21
EMP0309,1/4/2023,14,13,6,7.78
EMP0142,1/5/2023,18,3,0,5.8
EMP0070,1/6/2023,16,9,8,4.22
EMP0215,1/7/2023,33,25,8,6.1
EMP0214,1/8/2023,12,24,6,9.23
EMP0269,1/9/2023,30,28,6,9.55
EMP0041,1/10/2023,26,3,2,4.61
EMP0464,1/11/2023,44,4,2,7.28
EMP0226,1/12/2023,41,2,3,7.24
EMP0358,1/13/2023,25,19,9,8.45
EMP0109,1/14/2023,21,2,0,7.29
EMP0252,1/15/2023,32,1,4,6.6
EMP0026,1/16/2023,26,16,8,7.55
EMP0174,1/17/2023,35,5,7,4.34
EMP0011,1/18/2023,13,14,2,7.68
EMP0081,1/19/2023,8,0,1,5.12
EMP0500,1/20/2023,37,27,9,8.4
EMP0342,1/21/2023,21,29,1,8.95
EMP0467,1/22/2023,22,9,6,9.58
EMP0338,1/23/2023,37,18,0,8.08
EMP0177,1/24/2023,39,17,3,4.84
EMP0442,1/25/2023,3,26,7,7.2
EMP0333,1/26/2023,15,20,2,5.83
EMP0380,1/27/2023,46,18,9,5.33
EMP0359,1/28/2023,13,27,4,5.11
EMP0094,1/29/2023,40,28,8,8.58
EMP0190,1/30/2023,44,15,8,9.14
EMP0292,1/31/2023,31,2,6,7.08
EMP0080,2/1/2023,18,1,4,7.08
EMP0472,2/2/2023,48,10,0,7.32
EMP0035,2/3/2023,18,7,4,9.99
EMP0202,2/4/2023,29,18,3,4.6
EMP0461,2/5/2023,23,4,9,4.16
EMP0207,2/6/2023,0,9,6,7.37
EMP0430,2/7/2023,30,25,2,6.25
EMP0358,2/8/2023,2,20,4,9.49
EMP0081,2/9/2023,28,7,6,5.17
EMP0267,2/10/2023,22,3,4,9.31
EMP0331,2/11/2023,10,18,6,8.88
EMP0366,2/12/2023,24,15,2,7.36
EMP0062,2/13/2023,23,15,0,8.93
EMP0014,2/14/2023,39,29,2,9.59
EMP0126,2/15/2023,28,27,6,4.75
EMP0477,2/16/2023,21,14,5,8.95
EMP0069,2/17/2023,25,29,9,5.92
EMP0217,2/18/2023,3,7,7,6.64
EMP0192,2/19/2023,42,4,3,4.5
EMP0432,2/20/2023,35,4,8,4.02
EMP0097,2/21/2023,17,14,9,8.56
EMP0112,2/22/2023,12,5,2,9.5
EMP0271,2/23/2023,37,8,6,6.76
EMP0491,2/24/2023,18,22,8,8.04
EMP0302,2/25/2023,0,17,9,9.1
EMP0108,2/26/2023,48,23,9,9.58
EMP0484,2/27/2023,38,20,9,7.87
EMP0134,2/28/2023,30,25,6,5.55
EMP0342,3/1/2023,43,4,0,9.98
EMP0082,3/2/2023,29,6,9,4.07
EMP0303,3/3/2023,4,15,8,8.37
EMP0132,3/4/2023,6,12,7,6.69
EMP0377,3/5/2023,16,29,4,6.3
EMP0127,3/6/2023,11,27,7,4.63
EMP0372,3/7/2023,25,17,7,8.56
EMP0468,3/8/2023,12,19,2,5.72
EMP0445,3/9/2023,11,5,3,7.06
EMP0489,3/10/2023,23,28,6,7.18
EMP0221,3/11/2023,48,1,2,4.42
EMP0142,3/12/2023,41,0,7,7.17
EMP0435,3/13/2023,47,16,2,4.61
EMP0122,3/14/2023,17,26,9,9.03
EMP0210,3/15/2023,5,0,2,7.13
EMP0151,3/16/2023,32,2,1,7.9
EMP0304,3/17/2023,9,13,0,6.35
EMP0334,3/18/2023,8,29,3,7.56
EMP0396,3/19/2023,8,22,4,4.06
EMP0472,3/20/2023,21,26,1,9.68
EMP0182,3/21/2023,32,28,1,6.44
EMP0223,3/22/2023,30,21,9,9.62
EMP0058,3/23/2023,45,13,8,5.32
EMP0180,3/24/2023,17,3,5,6.56
EMP0424,3/25/2023,43,17,8,4.69
EMP0020,3/26/2023,18,10,6,4.92
EMP0101,3/27/2023,33,9,5,8.58
EMP0339,3/28/2023,25,3,3,8.75
EMP0050,3/29/2023,27,12,0,8.28
EMP0453,3/30/2023,35,20,9,9.1
EMP0228,3/31/2023,21,19,2,9.65
EMP0076,4/1/2023,4,25,4,8.86
EMP0229,4/2/2023,2,13,8,4.03
EMP0043,4/3/2023,45,8,6,9.24
EMP0477,4/4/2023,40,14,0,8.31
EMP0286,4/5/2023,11,28,8,8.24
EMP0338,4/6/2023,3,17,4,7.26
EMP0250,4/7/2023,44,1,0,9.43
EMP0252,4/8/2023,43,27,7,8.08
EMP0249,4/9/2023,42,9,6,8.02
EMP0141,4/10/2023,0,16,4,4.17
EMP0229,4/11/2023,12,15,4,4.02
EMP0168,4/12/2023,32,18,0,5.4
EMP0500,4/13/2023,39,3,4,9.53
EMP0399,4/14/2023,18,7,8,5.67
EMP0149,4/15/2023,32,28,2,6.11
EMP0044,4/16/2023,1,1,0,7.46
EMP0020,4/17/2023,18,19,1,9.16
EMP0300,4/18/2023,10,27,2,8.09
EMP0105,4/19/2023,32,6,8,8.33
EMP0070,4/20/2023,48,23,0,6.23
EMP0478,4/21/2023,15,6,8,7.97
EMP0487,4/22/2023,27,11,0,5.45
EMP0141,4/23/2023,23,10,3,6.09
EMP0102,4/24/2023,32,10,8,4.64
EMP0207,4/25/2023,43,28,1,7
EMP0148,4/26/2023,38,4,1,4.56
EMP0466,4/27/2023,40,9,1,7.74
EMP0051,4/28/2023,7,6,4,7.66
EMP0071,4/29/2023,42,26,1,7.46
EMP0109,4/30/2023,14,21,1,7.56
EMP0428,5/1/2023,35,10,5,5.3
EMP0323,5/2/2023,5,25,5,8.26
EMP0384,5/3/2023,45,20,8,4.01
EMP0388,5/4/2023,18,14,4,8.69
EMP0319,5/5/2023,22,15,1,6.64
EMP0436,5/6/2023,33,3,0,8.87
EMP0184,5/7/2023,6,18,8,4.01
EMP0356,5/8/2023,4,4,4,5.79
EMP0373,5/9/2023,36,3,2,5.21
EMP0363,5/10/2023,25,0,1,8.37
EMP0166,5/11/2023,13,23,4,5.86
EMP0205,5/12/2023,9,29,5,5.35
EMP0112,5/13/2023,20,3,5,6.12
EMP0054,5/14/2023,32,22,5,5.43
EMP0265,5/15/2023,26,28,0,7.14
EMP0346,5/16/2023,13,29,0,8.82
EMP0173,5/17/2023,20,5,5,8.29
EMP0118,5/18/2023,9,24,7,4.94
EMP0260,5/19/2023,26,7,9,9.09
EMP0384,5/20/2023,47,13,9,4.15
EMP0272,5/21/2023,5,8,8,9.91
EMP0187,5/22/2023,32,22,8,9.14
EMP0270,5/23/2023,2,17,7,9.46
EMP0242,5/24/2023,12,3,0,8.64
EMP0203,5/25/2023,21,27,7,4.75
EMP0121,5/26/2023,23,15,5,8.87
EMP0355,5/27/2023,42,29,3,6.43
EMP0058,5/28/2023,27,10,5,5.53
EMP0146,5/29/2023,33,27,9,7.62
EMP0342,5/30/2023,24,4,5,5.94
EMP0424,5/31/2023,1,10,1,9.78
EMP0229,6/1/2023,0,27,8,6.44
EMP0392,6/2/2023,19,16,0,6.19
EMP0026,6/3/2023,26,29,9,5.81
EMP0478,6/4/2023,2,23,2,5.14
EMP0111,6/5/2023,13,9,0,8.21
EMP0403,6/6/2023,24,25,2,7.63
EMP0248,6/7/2023,45,0,2,6.26
EMP0068,6/8/2023,27,8,7,6.09
EMP0424,6/9/2023,12,28,5,9.5
EMP0445,6/10/2023,45,29,0,4.33
EMP0251,6/11/2023,22,26,7,4.1
EMP0090,6/12/2023,18,29,0,8.27
EMP0301,6/13/2023,0,8,6,5.64
EMP0140,6/14/2023,10,22,2,9.07
EMP0021,6/15/2023,42,8,5,4.43
EMP0084,6/16/2023,34,13,2,7.95
EMP0116,6/17/2023,31,6,8,8.87
EMP0111,6/18/2023,14,7,9,5.47
EMP0251,6/19/2023,47,28,0,7.18
EMP0142,6/20/2023,40,28,1,9.21
EMP0122,6/21/2023,6,13,6,4.74
EMP0229,6/22/2023,24,17,6,9
EMP0076,6/23/2023,49,10,2,6.28
