Employee_ID,Joining_Date,Onboarding_Feedback,Mentor_Assigned,Initial_Training_Completed
EMP0125,2023-01-01,Good,False,True
EMP0491,2023-01-02,Average,False,False
EMP0310,2023-01-03,Average,True,True
EMP0172,2023-01-04,Good,False,False
EMP0262,2023-01-05,Excellent,True,True
EMP0269,2023-01-06,Average,False,False
EMP0355,2023-01-07,Excellent,False,False
EMP0061,2023-01-08,Good,True,False
EMP0229,2023-01-09,Poor,True,True
EMP0388,2023-01-10,Good,True,False
EMP0004,2023-01-11,Poor,True,True
EMP0158,2023-01-12,Excellent,True,False
EMP0407,2023-01-13,Poor,True,False
EMP0039,2023-01-14,Poor,True,False
EMP0445,2023-01-15,Good,True,False
EMP0383,2023-01-16,Poor,False,True
EMP0235,2023-01-17,Good,False,True
EMP0260,2023-01-18,Average,False,False
EMP0192,2023-01-19,Average,True,False
EMP0014,2023-01-20,Average,False,True
EMP0340,2023-01-21,Poor,True,True
EMP0303,2023-01-22,Poor,True,True
EMP0452,2023-01-23,Excellent,False,False
EMP0475,2023-01-24,Average,False,False
EMP0417,2023-01-25,Average,False,False
EMP0447,2023-01-26,Excellent,True,True
EMP0340,2023-01-27,Excellent,False,False
EMP0149,2023-01-28,Poor,False,True
EMP0262,2023-01-29,Poor,False,False
EMP0036,2023-01-30,Poor,False,False
EMP0314,2023-01-31,Excellent,False,True
EMP0181,2023-02-01,Poor,True,False
EMP0320,2023-02-02,Good,False,True
EMP0218,2023-02-03,Excellent,True,True
EMP0300,2023-02-04,Average,True,False
EMP0228,2023-02-05,Good,False,False
EMP0038,2023-02-06,Average,True,False
EMP0292,2023-02-07,Good,False,False
EMP0353,2023-02-08,Poor,True,False
EMP0429,2023-02-09,Good,True,True
EMP0040,2023-02-10,Good,True,True
EMP0360,2023-02-11,Excellent,False,True
EMP0174,2023-02-12,Good,True,True
EMP0018,2023-02-13,Good,False,False
EMP0043,2023-02-14,Good,True,False
EMP0199,2023-02-15,Average,False,True
EMP0155,2023-02-16,Good,True,False
EMP0365,2023-02-17,Average,False,False
EMP0432,2023-02-18,Average,False,False
EMP0198,2023-02-19,Poor,True,False
EMP0203,2023-02-20,Average,True,True
EMP0318,2023-02-21,Poor,True,True
EMP0093,2023-02-22,Poor,False,False
EMP0383,2023-02-23,Good,False,False
EMP0373,2023-02-24,Good,True,False
EMP0039,2023-02-25,Poor,True,False
EMP0348,2023-02-26,Excellent,True,True
EMP0036,2023-02-27,Poor,True,False
EMP0164,2023-02-28,Excellent,False,False
EMP0398,2023-03-01,Excellent,False,False
EMP0285,2023-03-02,Excellent,True,True
EMP0213,2023-03-03,Poor,False,False
EMP0253,2023-03-04,Good,False,False
EMP0469,2023-03-05,Average,True,True
EMP0141,2023-03-06,Poor,True,True
EMP0012,2023-03-07,Good,True,False
EMP0476,2023-03-08,Average,False,False
EMP0027,2023-03-09,Good,True,False
EMP0414,2023-03-10,Excellent,False,False
EMP0460,2023-03-11,Poor,True,False
EMP0046,2023-03-12,Excellent,True,False
EMP0226,2023-03-13,Excellent,True,True
EMP0086,2023-03-14,Good,False,True
EMP0433,2023-03-15,Excellent,False,True
EMP0183,2023-03-16,Good,True,False
EMP0338,2023-03-17,Good,True,True
EMP0034,2023-03-18,Poor,False,False
EMP0030,2023-03-19,Poor,False,False
EMP0445,2023-03-20,Excellent,False,True
EMP0382,2023-03-21,Poor,True,False
EMP0249,2023-03-22,Good,True,True
EMP0366,2023-03-23,Average,True,True
EMP0470,2023-03-24,Poor,False,True
EMP0209,2023-03-25,Poor,False,False
EMP0217,2023-03-26,Poor,False,True
EMP0109,2023-03-27,Average,False,True
EMP0068,2023-03-28,Average,True,True
EMP0291,2023-03-29,Good,True,True
EMP0287,2023-03-30,Excellent,True,True
EMP0404,2023-03-31,Poor,False,True
EMP0093,2023-04-01,Good,False,False
EMP0245,2023-04-02,Excellent,False,False
EMP0324,2023-04-03,Excellent,True,True
EMP0312,2023-04-04,Excellent,False,False
EMP0057,2023-04-05,Average,False,True
EMP0345,2023-04-06,Average,False,False
EMP0028,2023-04-07,Good,False,False
EMP0317,2023-04-08,Excellent,True,True
EMP0322,2023-04-09,Average,False,True
EMP0047,2023-04-10,Average,True,False
EMP0180,2023-04-11,Poor,False,True
EMP0311,2023-04-12,Average,False,True
EMP0303,2023-04-13,Excellent,False,False
EMP0313,2023-04-14,Poor,False,True
EMP0076,2023-04-15,Poor,False,False
EMP0027,2023-04-16,Poor,False,False
EMP0089,2023-04-17,Excellent,False,True
EMP0393,2023-04-18,Poor,False,False
EMP0395,2023-04-19,Poor,False,True
EMP0233,2023-04-20,Average,True,False
EMP0041,2023-04-21,Average,True,True
