Employee_ID,Award_Type,Award_Date,Reward_Points
EMP0182,Innovation Award,2023-01-01,205
EMP0338,Leadership Excellence,2023-01-02,494
EMP0090,Best Team Player,2023-01-03,451
EMP0133,Best Team Player,2023-01-04,393
EMP0156,Star Performer,2023-01-05,271
EMP0379,Best Team Player,2023-01-06,438
EMP0363,Innovation Award,2023-01-07,439
EMP0485,Innovation Award,2023-01-08,226
EMP0040,Leadership Excellence,2023-01-09,393
EMP0286,Best Team Player,2023-01-10,447
EMP0273,Best Team Player,2023-01-11,287
EMP0020,Star Performer,2023-01-12,417
EMP0444,Leadership Excellence,2023-01-13,17
EMP0371,Innovation Award,2023-01-14,94
EMP0107,Innovation Award,2023-01-15,18
EMP0496,Innovation Award,2023-01-16,163
EMP0398,Best Team Player,2023-01-17,157
EMP0442,Star Performer,2023-01-18,138
EMP0461,Innovation Award,2023-01-19,16
EMP0095,Star Performer,2023-01-20,368
EMP0199,Star Performer,2023-01-21,43
EMP0327,Leadership Excellence,2023-01-22,74
EMP0275,Star Performer,2023-01-23,272
EMP0160,Innovation Award,2023-01-24,360
EMP0235,Leadership Excellence,2023-01-25,25
EMP0464,Leadership Excellence,2023-01-26,79
EMP0093,Best Team Player,2023-01-27,449
EMP0263,Innovation Award,2023-01-28,459
EMP0384,Star Performer,2023-01-29,70
EMP0184,Innovation Award,2023-01-30,392
EMP0419,Star Performer,2023-01-31,161
EMP0395,Leadership Excellence,2023-02-01,175
EMP0388,Star Performer,2023-02-02,127
EMP0431,Leadership Excellence,2023-02-03,261
EMP0362,Star Performer,2023-02-04,105
EMP0157,Star Performer,2023-02-05,386
EMP0164,Best Team Player,2023-02-06,352
EMP0443,Best Team Player,2023-02-07,350
EMP0488,Star Performer,2023-02-08,54
EMP0488,Best Team Player,2023-02-09,105
EMP0204,Innovation Award,2023-02-10,215
EMP0481,Star Performer,2023-02-11,272
EMP0105,Star Performer,2023-02-12,31
EMP0094,Best Team Player,2023-02-13,340
EMP0338,Innovation Award,2023-02-14,447
EMP0285,Star Performer,2023-02-15,258
EMP0232,Leadership Excellence,2023-02-16,217
EMP0332,Leadership Excellence,2023-02-17,26
EMP0043,Innovation Award,2023-02-18,144
EMP0260,Leadership Excellence,2023-02-19,34
EMP0064,Best Team Player,2023-02-20,233
EMP0112,Best Team Player,2023-02-21,237
EMP0440,Best Team Player,2023-02-22,33
EMP0254,Star Performer,2023-02-23,480
EMP0370,Leadership Excellence,2023-02-24,71
EMP0160,Best Team Player,2023-02-25,379
EMP0063,Star Performer,2023-02-26,259
EMP0100,Innovation Award,2023-02-27,377
EMP0003,Star Performer,2023-02-28,362
EMP0285,Best Team Player,2023-03-01,347
EMP0309,Best Team Player,2023-03-02,350
EMP0419,Best Team Player,2023-03-03,257
EMP0257,Star Performer,2023-03-04,465
EMP0373,Best Team Player,2023-03-05,128
EMP0442,Star Performer,2023-03-06,136
EMP0176,Star Performer,2023-03-07,332
