Employee_ID,Response_Date,Vibe_Score,Emotion_Zone
EMP0454,2023-01-01,3,Sad Zone
EMP0071,2023-01-02,1,Leaning to Happy Zone
EMP0096,2023-01-03,4,Neutral Zone (OK)
EMP0206,2023-01-04,6,Neutral Zone (OK)
EMP0074,2023-01-05,3,Excited Zone
EMP0215,2023-01-06,3,Sad Zone
EMP0128,2023-01-07,6,Leaning to Happy Zone
EMP0201,2023-01-08,3,Happy Zone
EMP0043,2023-01-09,3,Frustrated Zone
EMP0317,2023-01-10,4,Leaning to Happy Zone
EMP0467,2023-01-11,2,Happy Zone
EMP0055,2023-01-12,3,Neutral Zone (OK)
EMP0320,2023-01-13,1,Leaning to Sad Zone
EMP0210,2023-01-14,4,Leaning to Sad Zone
EMP0027,2023-01-15,6,Excited Zone
EMP0069,2023-01-16,4,Neutral Zone (OK)
EMP0332,2023-01-17,1,Leaning to Sad Zone
EMP0172,2023-01-18,5,Neutral Zone (OK)
EMP0019,2023-01-19,3,Neutral Zone (OK)
EMP0390,2023-01-20,4,Frustrated Zone
EMP0478,2023-01-21,5,Frustrated Zone
EMP0373,2023-01-22,3,Excited Zone
EMP0343,2023-01-23,3,Excited Zone
EMP0092,2023-01-24,6,Leaning to Happy Zone
EMP0045,2023-01-25,4,Leaning to Sad Zone
EMP0423,2023-01-26,5,Sad Zone
EMP0430,2023-01-27,4,Frustrated Zone
EMP0084,2023-01-28,4,Neutral Zone (OK)
EMP0002,2023-01-29,1,Frustrated Zone
EMP0146,2023-01-30,1,Neutral Zone (OK)
EMP0387,2023-01-31,1,Happy Zone
EMP0356,2023-02-01,1,Excited Zone
EMP0139,2023-02-02,3,Neutral Zone (OK)
EMP0449,2023-02-03,1,Happy Zone
EMP0187,2023-02-04,3,Sad Zone
EMP0167,2023-02-05,5,Neutral Zone (OK)
EMP0322,2023-02-06,3,Frustrated Zone
EMP0067,2023-02-07,6,Happy Zone
EMP0449,2023-02-08,5,Excited Zone
EMP0287,2023-02-09,3,Frustrated Zone
EMP0203,2023-02-10,5,Leaning to Happy Zone
EMP0109,2023-02-11,3,Happy Zone
EMP0130,2023-02-12,4,Happy Zone
EMP0409,2023-02-13,6,Leaning to Sad Zone
EMP0144,2023-02-14,4,Happy Zone
EMP0110,2023-02-15,4,Leaning to Happy Zone
EMP0323,2023-02-16,1,Frustrated Zone
EMP0463,2023-02-17,2,Leaning to Sad Zone
EMP0465,2023-02-18,2,Neutral Zone (OK)
EMP0056,2023-02-19,1,Excited Zone
EMP0188,2023-02-20,2,Happy Zone
EMP0289,2023-02-21,6,Frustrated Zone
EMP0081,2023-02-22,5,Leaning to Sad Zone
EMP0265,2023-02-23,5,Leaning to Happy Zone
EMP0375,2023-02-24,6,Excited Zone
EMP0286,2023-02-25,6,Frustrated Zone
EMP0202,2023-02-26,6,Leaning to Sad Zone
EMP0281,2023-02-27,1,Leaning to Happy Zone
EMP0102,2023-02-28,2,Leaning to Sad Zone
EMP0440,2023-03-01,6,Frustrated Zone
EMP0023,2023-03-02,4,Leaning to Sad Zone
EMP0468,2023-03-03,6,Happy Zone
EMP0380,2023-03-04,3,Sad Zone
EMP0396,2023-03-05,4,Sad Zone
EMP0306,2023-03-06,1,Frustrated Zone
EMP0279,2023-03-07,5,Neutral Zone (OK)
EMP0283,2023-03-08,2,Sad Zone
EMP0296,2023-03-09,2,Sad Zone
EMP0124,2023-03-10,5,Sad Zone
EMP0028,2023-03-11,2,Sad Zone
EMP0220,2023-03-12,4,Happy Zone
EMP0416,2023-03-13,6,Excited Zone
EMP0464,2023-03-14,6,Neutral Zone (OK)
EMP0255,2023-03-15,3,Leaning to Sad Zone
EMP0317,2023-03-16,5,Frustrated Zone
EMP0440,2023-03-17,4,Frustrated Zone
EMP0048,2023-03-18,5,Frustrated Zone
EMP0391,2023-03-19,3,Leaning to Sad Zone
EMP0466,2023-03-20,2,Sad Zone
EMP0257,2023-03-21,2,Sad Zone
EMP0122,2023-03-22,1,Leaning to Happy Zone
EMP0452,2023-03-23,1,Happy Zone
EMP0392,2023-03-24,2,Sad Zone
EMP0266,2023-03-25,6,Leaning to Sad Zone
EMP0188,2023-03-26,4,Neutral Zone (OK)
EMP0385,2023-03-27,6,Excited Zone
EMP0232,2023-03-28,1,Leaning to Sad Zone
EMP0363,2023-03-29,6,Frustrated Zone
EMP0455,2023-03-30,1,Sad Zone
EMP0084,2023-03-31,4,Frustrated Zone
EMP0118,2023-04-01,6,Leaning to Sad Zone
EMP0183,2023-04-02,5,Frustrated Zone
EMP0014,2023-04-03,2,Leaning to Sad Zone
EMP0160,2023-04-04,6,Happy Zone
EMP0413,2023-04-05,5,Leaning to Happy Zone
EMP0200,2023-04-06,3,Happy Zone
EMP0162,2023-04-07,3,Sad Zone
EMP0244,2023-04-08,4,Leaning to Happy Zone
EMP0402,2023-04-09,2,Sad Zone
EMP0418,2023-04-10,4,Excited Zone
EMP0228,2023-04-11,5,Excited Zone
EMP0340,2023-04-12,4,Happy Zone
EMP0417,2023-04-13,2,Leaning to Happy Zone
EMP0125,2023-04-14,5,Happy Zone
EMP0338,2023-04-15,5,Leaning to Happy Zone
